URIs,labels
../../scotts/datasets/train/caladium_flickr_1403_-1881587250.jpg,caladium
../../scotts/datasets/train/caladium_flickr_380_902480526.jpg,caladium
../../scotts/datasets/train/mossphlox_flickr_921_2025553187.jpg,mossphlox
../../scotts/datasets/train/gaura_flickr_159_-148467757.jpg,gaura
../../scotts/datasets/train/blackeyedsusan_flickr_458_867538453.jpg,blackeyedsusan
../../scotts/datasets/train/floweringdogwood_flickr_852_298875090.jpg,floweringdogwood
../../scotts/datasets/train/siberianiris_flickr_1235_1337047490.jpg,siberianiris
../../scotts/datasets/train/siberianiris_flickr_468_-1682360638.jpg,siberianiris
../../scotts/datasets/train/wishboneflower_flickr_48_-1423308035.jpg,wishboneflower
../../scotts/datasets/train/amaryllis_flickr_245_1591896658.jpg,amaryllis
../../scotts/datasets/train/cardinalflower_flickr_926_-1315225536.jpg,cardinalflower
../../scotts/datasets/train/balloonflower_flickr_479_-1796471624.jpg,balloonflower
../../scotts/datasets/train/tulip_flickr_1002_-1010544766.jpg,tulip
../../scotts/datasets/train/gloxinia_flickr_11_-861146616.jpg,gloxinia
../../scotts/datasets/train/snowdrop_flickr_215_-1210672361.jpg,snowdrop
../../scotts/datasets/train/flax_flickr_1059_1087706731.jpg,flax
../../scotts/datasets/train/mandevilla_flickr_1232_262330003.jpg,mandevilla
../../scotts/datasets/train/borage_flickr_492_-1227035133.jpg,borage
../../scotts/datasets/train/mexicansunflower_flickr_1224_346107605.jpg,mexicansunflower
../../scotts/datasets/train/redhotpoker_flickr_1033_1741557367.jpg,redhotpoker
../../scotts/datasets/train/gloryofthesnow_flickr_555_560603534.jpg,gloryofthesnow
../../scotts/datasets/train/weigela_flickr_524_-768695435.jpg,weigela
../../scotts/datasets/train/caladium_flickr_114_1910058299.jpg,caladium
../../scotts/datasets/train/spiderlily_flickr_1225_580345178.jpg,spiderlily
../../scotts/datasets/train/autumncrocus_flickr_387_996591865.jpg,autumncrocus
../../scotts/datasets/train/lilyofthevalley_flickr_1115_361828738.jpg,lilyofthevalley
../../scotts/datasets/train/calibrachoa_flickr_417_258747857.jpg,calibrachoa
../../scotts/datasets/train/cardinalflower_flickr_889_-2133984883.jpg,cardinalflower
../../scotts/datasets/train/marshmarigold_flickr_946_-535254209.jpg,marshmarigold
../../scotts/datasets/train/masterwort_flickr_268_-1425096563.jpg,masterwort
../../scotts/datasets/train/snowdrop_flickr_537_399623754.jpg,snowdrop
../../scotts/datasets/train/lilyofthevalley_flickr_1041_402042437.jpg,lilyofthevalley
../../scotts/datasets/train/leadwort_flickr_28_-553770549.jpg,leadwort
../../scotts/datasets/train/borage_flickr_33_1274859069.jpg,borage
../../scotts/datasets/train/capedaisy_flickr_658_1872415987.jpg,capedaisy
../../scotts/datasets/train/lentenrose_flickr_765_-1331697325.jpg,lentenrose
../../scotts/datasets/train/capedaisy_flickr_1033_800647355.jpg,capedaisy
../../scotts/datasets/train/gardenia_flickr_1395_-337734621.jpg,gardenia
../../scotts/datasets/train/cardinalflower_flickr_797_1792785697.jpg,cardinalflower
../../scotts/datasets/train/amaranth_flickr_293_333027624.jpg,amaranth
../../scotts/datasets/train/weigela_flickr_971_-635093525.jpg,weigela
../../scotts/datasets/train/balloonflower_flickr_696_2051243827.jpg,balloonflower
../../scotts/datasets/train/marshmarigold_flickr_234_181510777.jpg,marshmarigold
../../scotts/datasets/train/peruvialily_flickr_157_1037534877.jpg,peruvialily
../../scotts/datasets/train/lavendercotton_flickr_119_-1789567943.jpg,lavendercotton
../../scotts/datasets/train/autumncrocus_flickr_558_-1446489014.jpg,autumncrocus
../../scotts/datasets/train/toadlily_flickr_17_1226497521.jpg,toadlily
../../scotts/datasets/train/mossphlox_flickr_1230_35579228.jpg,mossphlox
../../scotts/datasets/train/amaranth_flickr_48_-842551015.jpg,amaranth
../../scotts/datasets/train/spiderlily_flickr_257_507030110.jpg,spiderlily
../../scotts/datasets/train/cardoon_flickr_814_-1464875262.jpg,cardoon
../../scotts/datasets/train/nasturtium_flickr_9_952722285.jpg,nasturtium
../../scotts/datasets/train/snowdrop_flickr_188_1476258715.jpg,snowdrop
../../scotts/datasets/train/gerberadaisy_flickr_329_251617127.jpg,gerberadaisy
../../scotts/datasets/train/bloodflower_flickr_67_-752536688.jpg,bloodflower
../../scotts/datasets/train/wishboneflower_flickr_126_-59452547.jpg,wishboneflower
../../scotts/datasets/train/yarrow_flickr_257_-2696599.jpg,yarrow
../../scotts/datasets/train/autumncrocus_flickr_544_510504709.jpg,autumncrocus
../../scotts/datasets/train/jerusalemsage_flickr_26_112046892.jpg,jerusalemsage
../../scotts/datasets/train/cardoon_flickr_1008_-515999197.jpg,cardoon
../../scotts/datasets/train/jerusalemsage_flickr_92_-904543065.jpg,jerusalemsage
../../scotts/datasets/train/bottlebrush_flickr_436_1391007534.jpg,bottlebrush
../../scotts/datasets/train/amaryllis_flickr_360_-1694523322.jpg,amaryllis
../../scotts/datasets/train/reticulatediris_flickr_493_-1005731863.jpg,reticulatediris
